Оценка;Группа;Содержание дисциплины соответствовало заявленному в программе дисциплины;Место дисциплины в программе обучения обосновано;Учебная нагрузка дисциплины посильная;Уровень нагрузки в ходе обучения равномерный;Занятия проводились согласно расписанию;Доступ к материалам дисциплины предоставлялся вовремя;О заменах и переносах (при наличии таковых) сообщалось заранее в доступной форме;Перед изучением дисциплины [были ли у Вас соответствующие теоретические знания];Перед изучением дисциплины [был ли у Вас соответствующий практический опыт];Оцените, пожалуйста, [приблизительный уровень Вашего присутствия на занятиях (в %)];Оцените, пожалуйста, [свою успешность в дисциплине (в баллах)];Вы активно участвовали в аудиторных занятиях?;Вы изучали самостоятельно материалы по дисциплине?;Вы удовлетворены своим прогрессом в дисциплине?;Считаете ли Вы, что дисциплина хорошо структурирована с точки зрения баланса лекций, практик, лабораторных, самостоятельной работы?;Считаете ли Вы, что методы обучения стимулировали и увлекали студентов?;Считаете ли Вы, что общая атмосфера в аудитории была рабочей и дружественной?;Методические и раздаточные материалы соответствуют тематике дисциплины;Преподавателем рекомендована бесплатная литература, изложение материалов в литературе доступное и понятное;Обеспечение учебными ресурсами в библиотеке соответствует Вашим потребностям;Обеспечение вебресурсами соответствует Вашим потребностям;Основные идеи и понятия дисциплины излагаются ;Темп изложения;Дисциплина стимулирует Ваш интерес к дальнейшему профессиональному росту;Вы понимали на аудиторных занятиях новый материал;При изложении материала прослеживались связи [между темами дисциплины];При изложении материала прослеживались связи [между этой и другими дисциплинами программы обучения];Преподаватель динамично реагировал на вопросы и потребности студентов;Готовы ли Вы охарактеризовать поведение уравновешенным и отношение к студентам объективным [говоря о преподавателе];Методы оценивания были понятны и обоснованы?;Вы получали вовремя результаты оценивания?;Давал ли преподаватель полезную обратную связь по результатам оценивания?;Методические указания содержали полезные сведения;Требуемый объем работ;Преподаватель эффективно помогал в решении возникавших проблем;Практические/лабораторные задания Вы выполняли;;;;;;
90;АС-161;Согласен;Полностью согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;90-100;90-100;Да;Нет;Да;Да;Да;Да;Полностью согласен;Согласен;Согласен;Согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Не всегда;Некоторые рекомендации были полезны;посильный;Всегда;самостоятельно;;;;;;
97;АС-161;Полностью согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;90-100;90-100;Да;Да;Да;Да;Да;Да;Полностью согласен;Согласен;Не определился;Согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
80;АС-161;Полностью согласен;Полностью согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Согласен;Нет;Нет;31-59;75-89;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
63;АС-161;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;75-89;60-74;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Согласен;Полностью согласен;вполне доступно;приемлемый;Да;В большинстве случаев да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
90;АС-161;Согласен;Согласен;Согласен;Не определился;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;60-74;75-89;Да;Затрудняюсь ответить;Нет;Затрудняюсь ответить;Нет;Да;Полностью согласен;Согласен;Согласен;Согласен;вполне доступно;слишком быстрый;Не вижу связи;Да;Да, регулярно;Весьма эпизодически;Да;Воздержусь;Не всегда;Да;Я не спрашивал;Некоторые рекомендации были полезны;посильный;Всегда;самостоятельно;;;;;;
78;АС-161;Согласен;Полностью согласен;Согласен;Не определился;Полностью согласен;Согласен;Полностью согласен;Да;Нет;75-89;75-89;Да;Да;Да;Затрудняюсь ответить;Да;Да;Полностью согласен;Согласен;Не определился;Не согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Я не спрашивал;Некоторые рекомендации были полезны;посильный;Иногда;с небольшой помощью;;;;;;
81;АС-161;Полностью согласен;Полностью согласен;Согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Нет;Нет;75-89;75-89;Затрудняюсь ответить;Нет;Да;Да;Затрудняюсь ответить;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;слишком быстрый;Нет;Да;Да, регулярно;Да, регулярно;Да;Да;Не всегда;Да;Я не спрашивал;Однозначно, да;посильный;Иногда;с небольшой помощью;;;;;;
92;АС-161;Полностью согласен;Полностью согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;90-100;90-100;Да;Да;Да;Да;Время от времени;Да;Согласен;Согласен;Согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Весьма эпизодически;Весьма эпизодически;Да;Да;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;с небольшой помощью;;;;;;
66;АС-161;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;Полностью согласен;Нет;Да;0-30;60-74;Нет;Да;Затрудняюсь ответить;Да;Затрудняюсь ответить;Затрудняюсь ответить;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Затрудняюсь ответить;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
60;АС-161;Не определился;Не определился;Не определился;Не определился;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;0-30;60-74;Нет;Затрудняюсь ответить;Затрудняюсь ответить;Да;Затрудняюсь ответить;Затрудняюсь ответить;Согласен;Не определился;Не определился;Согласен;вполне доступно;приемлемый;Не вижу связи;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Затрудняюсь ответить;Да;Да;Да;Я не спрашивал;Некоторые рекомендации были полезны;посильный;Всегда;часто требовалась помощь;;;;;;
